Year,Region,Climate_Condition,Average_Temperature_C,CO2_Emissions_Tons,Traffic_Density_VehiclesPerKm2,Population_Density_PeoplePerKm2,Urbanization_Rate_Percent,Green_Cover_Percent,Climate_Change_Index
2006,Africa,Cold,4.28,807818243.69,7346.61,4323.01,98.42,35.45,0.369
2019,Africa,Arid,26.73,771701871.51,54.08,4535.45,69.89,62.54,0.5921
2014,Asia,Polar,-8.8,915223681.58,5982.02,5133.7,96.09,28.5,0.3508
2010,Asia,Polar,19.24,854660920.47,9163.63,7133.18,28.13,65.61,0.2149
2007,Africa,Cold,37.07,683492387.68,2914.94,2742.29,87.76,45.99,0.1165
2020,Africa,Arid,-1.28,53280524.44,1895.98,1224.66,38.92,65.72,0.8798
2006,Europe,Cold,13.58,783065769.37,6534.21,5565.01,99.06,54.22,0.4403
2018,Europe,Arid,-5.43,845665300.03,7140.38,3276.51,24.19,11.72,0.6252
2022,Asia,Cold,21.28,799283063.63,6895.9,4430.49,56.47,20.02,0.4904
2010,North America,Polar,17.53,508970556.27,3227.2,6473.0,81.36,30.62,0.8726
2010,Africa,Polar,10.37,233668936.81,2559.41,4946.32,48.94,16.06,0.5469
2023,Europe,Tropical,16.07,845484645.71,9561.39,6206.59,52.13,37.17,0.4808
2020,Asia,Temperate,34.83,727435646.93,9236.83,5446.56,98.77,35.64,0.9246
2003,Europe,Cold,-0.19,980780413.21,4600.3,7400.57,48.28,67.16,0.7197
2007,Africa,Tropical,-8.87,156536905.16,8469.63,7062.31,64.37,33.19,0.1115
2023,Africa,Temperate,33.08,226438918.47,4550.62,5346.56,14.91,56.07,0.1777
2002,South America,Cold,18.86,212586351.73,4272.67,6792.24,85.8,66.22,0.7871
2021,North America,Arid,34.53,792747227.85,1609.79,8736.86,68.34,62.0,0.8359
2020,South America,Temperate,19.85,187720389.15,4292.74,4328.39,46.36,18.56,0.5452
2001,Asia,Polar,30.51,67593169.99,5397.3,4133.5,11.46,37.24,0.5545
2023,Europe,Tropical,11.48,998562245.78,273.92,7644.81,63.25,27.6,0.6319
2011,Asia,Temperate,27.49,25792394.23,4468.92,5829.71,11.14,30.99,0.4391
2005,Africa,Temperate,35.65,835408816.1,7824.49,719.36,10.11,28.45,0.6802
2001,South America,Polar,18.61,366001474.71,6816.46,8922.2,65.45,58.71,0.1085
2020,South America,Cold,-0.96,841773844.3,6369.81,317.52,27.01,34.39,0.9613
2000,South America,Arid,3.44,555065870.72,9100.08,7486.48,27.27,39.04,0.7502
2011,Asia,Polar,-0.07,901729598.26,229.42,7590.35,68.79,68.86,0.6312
2021,Africa,Arid,2.34,926266793.43,5592.62,9531.58,14.83,8.9,0.3163
2011,Europe,Cold,5.32,10089083.1,7884.12,550.8,38.21,36.72,0.161
2024,Europe,Temperate,17.76,76336763.82,5436.29,5972.6,23.45,55.31,0.4093
2016,Asia,Arid,19.4,251108370.84,3272.76,4284.13,62.22,14.83,0.6616
2009,South America,Tropical,11.32,669646100.95,1405.69,3313.02,69.56,44.75,0.6337
2015,North America,Tropical,20.77,888383924.31,8881.25,912.28,74.9,20.57,0.3826
2014,Asia,Polar,-5.92,460482009.34,4734.09,5630.91,32.97,61.38,0.6133
2014,Asia,Cold,-5.61,607366143.16,8787.25,4795.62,18.03,26.26,0.8137
2018,Africa,Polar,-1.41,189311352.94,5879.23,1054.5,17.08,26.39,0.0263
2011,Europe,Polar,15.9,805161867.05,6758.21,6128.77,48.35,43.88,0.4506
2022,Asia,Polar,0.7,967360783.24,8052.4,7382.15,95.13,16.93,0.7586
2019,Asia,Tropical,4.16,269330333.98,6608.6,7675.11,29.6,23.52,0.5461
2024,South America,Tropical,10.02,495331125.65,4010.65,9054.68,33.11,32.08,0.6515
2002,South America,Polar,30.59,87029994.4,5160.65,4100.61,19.08,27.99,0.5167
2004,North America,Tropical,-9.31,559577519.81,8040.3,9531.2,64.5,39.12,0.9919
2018,Africa,Cold,22.47,503280658.4,3767.82,8655.64,71.19,43.98,0.0546
2006,North America,Polar,23.44,145292047.67,3911.81,2972.05,67.86,41.83,0.491
2020,South America,Tropical,29.93,442624146.9,1002.12,1601.24,87.5,47.52,0.0914
2008,Europe,Arid,36.64,334770547.43,9150.12,4359.54,53.78,25.0,0.1598
2006,South America,Polar,-8.99,522309044.43,955.81,4024.97,22.1,13.22,0.383
2017,Africa,Polar,-2.31,586068681.09,6499.68,5761.44,36.05,54.45,0.1555
2003,South America,Cold,34.31,9487083.03,4161.29,5838.03,69.62,60.3,0.9637
2024,Africa,Temperate,12.93,761244976.97,4085.91,7502.37,65.18,21.71,0.9468
